"make","model","trim","year start","year end","bp","hub","offset","thread","thread","suggested tire size","tire_size","with"
"BMW","3 SERIES","330","2001","2005","5x120","72.56","HIGH","12X1.5","B BOLT","oe-17","205/50-17",""
"BMW","3 SERIES","330","2001","2005","5x120","72.56","HIGH","12X1.5","B BOLT","f-oe-17","225/45-17",""
"BMW","3 SERIES","330","2001","2005","5x120","72.56","HIGH","12X1.5","B BOLT","r-oe-17","245/40-17",""
"BMW","3 SERIES","330","2001","2005","5x120","72.56","HIGH","12X1.5","B BOLT","f-oe-18","225/40-18",""
"BMW","3 SERIES","330","2001","2005","5x120","72.56","HIGH","12X1.5","B BOLT","*r-oe-18","255/35-18",""
"BMW","3 SERIES","325","2006","2006","5x120","72.56","                                       ","12X1.5","B BOLT","oe-16","205/55-16",""
"BMW","3 SERIES","325","2006","2006","5x120","72.56","                                       ","12X1.5","B BOLT","oe-17","225/45-17",""
"BMW","3 SERIES","330","2006","2006","5x120","72.56","HIGH","12X1.5","B BOLT","oe-17","205/50-17",""
"BMW","3 SERIES","330","2006","2006","5x120","72.56","HIGH","12X1.5","B BOLT","oe-17","225/45-17",""
"BMW","3 SERIES","330","2006","2006","5x120","72.56","HIGH","12X1.5","B BOLT","f-oe-17","225/45-17",""
"BMW","3 SERIES","330","2006","2006","5x120","72.56","HIGH","12X1.5","B BOLT","r-oe-17","245/40-17",""
"BMW","3 SERIES","328","2007","2007","5x120","72.56","HIGH","12X1.5","B BOLT","oe-16","205/55-16",""
"BMW","3 SERIES","328","2007","2007","5x120","72.56","HIGH","12X1.5","B BOLT","oe-17","225/45-17",""
"BMW","3 SERIES","328","2007","2007","5x120","72.56","HIGH","12X1.5","B BOLT","f-oe-17","225/45-17",""
"BMW","3 SERIES","328","2007","2007","5x120","72.56","HIGH","12X1.5","B BOLT","r-oe-17","255/40-17",""
"BMW","3 SERIES","328","2007","2007","5x120","72.56","HIGH","12X1.5","B BOLT","oe-18","255/35-18",""
"BMW","3 SERIES","328","2007","2007","5x120","72.56","HIGH","12X1.5","B BOLT","f-oe-18","225/40-18",""
"BMW","3 SERIES","328","2007","2007","5x120","72.56","HIGH","12X1.5","B BOLT","r-oe-18","255/35-18",""
"BMW","3 SERIES","330","2007","2007","5x120","72.56","HIGH","12X1.5","B BOLT","oe-17","205/50-17",""
"BMW","3 SERIES","330","2007","2007","5x120","72.56","HIGH","12X1.5","B BOLT","f-oe-18","225/40-18",""
"BMW","3 SERIES","330","2007","2007","5x120","72.56","HIGH","12X1.5","B BOLT","r-oe-18","255/35-18",""
"BMW","3 SERIES","330","2007","2007","5x120","72.56","HIGH","12X1.5","B BOLT","r-oe-18","255/35-18",""
"BMW","3 SERIES","335","2007","2007","5x120","72.56","HIGH","12X1.5","B BOLT","oe-17","225/45-17",""
"BMW","3 SERIES","335","2007","2007","5x120","72.56","HIGH","12X1.5","B BOLT","f-oe-18","225/40-18",""
"BMW","3 SERIES","335","2007","2007","5x120","72.56","HIGH","12X1.5","B BOLT","r-oe-18","255/35-18",""
"BMW","3 SERIES","328","2008","2009","5x120","72.56","HIGH","12X1.5","B BOLT","oe-16","205/55-16",""
"BMW","3 SERIES","328","2008","2009","5x120","72.56","HIGH","12X1.5","B BOLT","oe-17","225/45-17",""
"BMW","3 SERIES","328","2008","2009","5x120","72.56","HIGH","12X1.5","B BOLT","f-oe-17","225/45-17",""
"BMW","3 SERIES","328","2008","2009","5x120","72.56","HIGH","12X1.5","B BOLT","r-oe-17","255/40-17",""
"BMW","3 SERIES","328","2008","2009","5x120","72.56","HIGH","12X1.5","B BOLT","f-oe-18","225/40-18",""
"BMW","3 SERIES","328","2008","2009","5x120","72.56","HIGH","12X1.5","B BOLT","r-oe-18","255/35-18",""
"BMW","3 SERIES","335","2008","2009","5x120","72.56","HIGH","12X1.5","B BOLT","oe-17","225/45-17",""
"BMW","3 SERIES","335","2008","2009","5x120","72.56","HIGH","12X1.5","B BOLT","f-oe-17","225/45-17",""
"BMW","3 SERIES","335","2008","2009","5x120","72.56","HIGH","12X1.5","B BOLT","r-oe-17","255/40-17",""
"BMW","3 SERIES","335","2008","2009","5x120","72.56","HIGH","12X1.5","B BOLT","f-oe-18","225/40-18",""
